,代码,名称
268,sz399239,IT指数
269,sz399240,金融指数
270,sz399241,地产指数
271,sz399242,商务指数
272,sz399243,科研指数
273,sz399244,公共指数
274,sz399248,文化指数
275,sz399249,综企指数
276,sz399269,创质量
277,sz399275,创医药
278,sz399276,创科技
279,sz399277,公共健康
280,sz399278,长江100
281,sz399279,云科技50
282,sz399280,生物50
283,sz399281,电子50
284,sz399282,大数据50
285,sz399283,机器人50
286,sz399284,AI 50
287,sz399285,物联网50
288,sz399286,区块链50
289,sz399290,深转交债
290,sz399291,创精选88
291,sz399292,民企发展
292,sz399293,创业大盘
293,sz399294,中小创Q
294,sz399295,创业蓝筹
295,sz399296,创成长
296,sz399297,新浪100
297,sz399298,深信中高
298,sz399299,深信中低
299,sz399300,沪深300
300,sz399301,深信用债
301,sz399302,深公司债
302,sz399303,国证2000
303,sz399306,深证ETF
304,sz399307,深证转债
305,sz399310,国证A50
306,sz399311,国证1000
307,sz399312,国证300
308,sz399313,巨潮100
309,sz399314,巨潮大盘
310,sz399315,巨潮中盘
311,sz399316,巨潮小盘
312,sz399317,国证Ａ指
313,sz399318,国证Ｂ指
314,sz399319,资源优势
315,sz399320,国证服务
316,sz399321,国证红利
317,sz399322,国证治理
318,sz399324,深证红利
319,sz399326,成长40
320,sz399328,深证治理
321,sz399330,深证100
322,sz399333,中小100R
323,sz399335,深证央企
324,sz399337,深证民营
325,sz399339,深证科技
326,sz399341,深证责任
327,sz399344,深证300R
328,sz399346,深证成长
329,sz399348,深证价值
330,sz399350,皖江30
331,sz399351,创新示范
332,sz399352,深企综指
333,sz399353,国证物流
334,sz399354,分析师指数
335,sz399355,长三角
336,sz399356,珠三角
337,sz399357,环渤海
338,sz399358,国证环保
339,sz399359,国证基建
340,sz399360,新硬件
341,sz399361,在线消费
342,sz399362,民企100
343,sz399363,云科技
344,sz399364,消费100
345,sz399365,国证农业
346,sz399366,国证大宗
347,sz399367,1000地产
348,sz399368,国证军工
349,sz399369,国证责任
350,sz399370,国证成长
351,sz399371,国证价值
352,sz399372,大盘成长
353,sz399373,大盘价值
354,sz399374,中盘成长
355,sz399375,中盘价值
356,sz399376,小盘成长
357,sz399377,小盘价值
358,sz399378,ESG 300
359,sz399379,国证基金
360,sz399380,国证ETF
361,sz399381,1000能源
362,sz399382,1000材料
363,sz399383,1000工业
364,sz399384,1000可选
365,sz399385,1000消费
366,sz399386,1000医药
367,sz399387,1000金融
368,sz399388,1000信息
369,sz399389,国证通信
370,sz399390,1000公用
371,sz399391,投资时钟
372,sz399392,国证新兴
373,sz399393,国证地产
374,sz399394,国证医药
375,sz399395,国证有色
376,sz399396,国证食品
377,sz399397,国证文化
378,sz399398,绩效指数
379,sz399399,中经GDP
380,sz399400,大中盘
381,sz399401,中小盘
382,sz399402,周期100
383,sz399403,防御100
384,sz399404,大盘低波
385,sz399405,大盘高贝
386,sz399406,中盘低波
387,sz399407,中盘高贝
388,sz399408,小盘低波
389,sz399409,小盘高贝
390,sz399410,苏州率先
391,sz399411,红利100
392,sz399412,国证新能
393,sz399413,国证转债
394,sz399415,I100
395,sz399416,I300
396,sz399417,新能源车
397,sz399418,国证国安
398,sz399419,国证高铁
399,sz399420,国证保证
400,sz399422,中关村A
401,sz399423,中关村50
402,sz399427,专利领先
403,sz399428,国证定增
404,sz399429,新丝路
405,sz399431,国证银行
406,sz399432,智能汽车
407,sz399433,国证交运
408,sz399434,国证传媒
409,sz399435,国证农牧
410,sz399436,绿色煤炭
411,sz399437,证券龙头
412,sz399438,国证电力
413,sz399439,国证油气
414,sz399440,国证钢铁
415,sz399441,生物医药
416,sz399481,企债指数
417,sz399550,央视50
418,sz399551,央视创新
419,sz399552,央视成长
420,sz399553,央视回报
421,sz399554,央视治理
422,sz399555,央视责任
423,sz399556,央视生态
424,sz399557,央视文化
425,sz399602,中小成长
426,sz399604,中小价值
427,sz399606,创业板R
428,sz399608,科技100
429,sz399610,TMT50
430,sz399611,中创100R
431,sz399612,中创100
432,sz399613,深证能源
433,sz399614,深证材料
434,sz399615,深证工业
435,sz399616,深证可选
436,sz399617,深证消费
437,sz399618,深证医药
438,sz399619,深证金融
439,sz399620,深证信息
440,sz399621,深证电信
441,sz399622,深证公用
442,sz399623,中小基础
443,sz399624,中创400
444,sz399625,中创500
445,sz399626,中创成长
446,sz399627,中创价值
447,sz399628,700成长
448,sz399629,700价值
449,sz399630,1000成长
450,sz399631,1000价值
451,sz399632,深100EW
452,sz399633,深300EW
453,sz399634,中小等权
454,sz399635,创业板EW
455,sz399636,深证装备
456,sz399637,深证地产
457,sz399638,深证环保
458,sz399639,深证大宗
459,sz399640,创业基础
460,sz399641,深证新兴
461,sz399642,中小新兴
462,sz399643,创业新兴
463,sz399644,深证时钟
464,sz399645,100低波
465,sz399646,深消费50
466,sz399647,深医药50
467,sz399648,深证GDP
468,sz399649,中小红利
469,sz399650,中小治理
470,sz399651,中小责任
471,sz399652,中创高新
472,sz399653,深证龙头
473,sz399654,深证文化
474,sz399655,深证绩效
475,sz399656,100绩效
476,sz399657,300绩效
477,sz399658,中小绩效
478,sz399659,深成指EW
479,sz399660,中创EW
480,sz399661,深证低波
481,sz399662,深证高贝
482,sz399663,中小低波
483,sz399664,中小高贝
484,sz399665,中创低波
485,sz399666,中创高贝
486,sz399667,创业板G
487,sz399668,创业板V
488,sz399669,深证农业
489,sz399670,深周期50
490,sz399671,深防御50
491,sz399672,深红利50
492,sz399673,创业板50
493,sz399674,深A医药
494,sz399675,深互联网
495,sz399676,深医药EW
496,sz399677,深互联EW
497,sz399678,深次新股
498,sz399679,深证200R
499,sz399680,深成能源
500,sz399681,深成材料
501,sz399682,深成工业
502,sz399683,深成可选
503,sz399684,深成消费
504,sz399685,深成医药
505,sz399686,深成金融
506,sz399687,深成信息
507,sz399688,深成电信
508,sz399689,深成公用
509,sz399690,中小专利
510,sz399691,创业专利
