,代码,名称
289,603690,至纯科技
290,000663,*ST永林
291,688069,德林海
292,601208,东材科技
293,002102,ST冠福
294,600870,*ST厦华
295,300218,安利股份
296,300537,广信材料
297,002356,*ST赫美
298,300320,海达股份
299,601777,力帆科技
300,603032,*ST德新
301,002132,恒星科技
302,601618,中国中冶
303,600139,ST西源
304,603779,ST威龙
305,000698,沈阳化工
306,300317,珈伟新能
307,000820,*ST节能
308,002428,云南锗业
309,000752,*ST西发
310,688033,天宜上佳
311,688088,虹软科技
312,600237,铜峰电子
313,300456,赛微电子
314,002656,ST摩登
315,000707,*ST双环
316,002549,凯美特气
317,300118,东方日升
318,600520,文一科技
319,300010,豆神教育
320,600281,太化股份
321,000859,国风塑业
322,000708,中信特钢
323,600209,*ST罗顿
324,002353,杰瑞股份
325,603179,新泉股份
326,600078,*ST澄星
327,688336,三生国健
328,601100,恒立液压
329,300384,三联虹普
330,600212,江泉实业
331,002175,*ST东网
332,002097,山河智能
333,000906,浙商中拓
334,300541,先进数通
335,600165,新日恒力
336,300742,越博动力
337,603055,台华新材
338,000545,金浦钛业
339,000603,盛达资源
340,300548,博创科技
341,300479,神思电子
342,002426,胜利精密
343,002617,露笑科技
344,601003,柳钢股份
345,600586,金晶科技
346,605399,晨光新材
347,600323,瀚蓝环境
348,300311,任子行
349,688516,奥特维
350,002971,和远气体
351,300345,华民股份
352,600225,*ST松江
353,300467,迅游科技
354,002418,康盛股份
355,601020,ST华钰
356,300224,正海磁材
357,002916,深南电路
358,000025,特  力Ａ
359,002285,世联行
360,000659,珠海中富
361,300342,天银机电
362,300610,晨化股份
363,300671,富满电子
364,002992,宝明科技
365,002829,星网宇达
366,002915,中欣氟材
367,603603,博天环境
368,600773,西藏城投
369,300080,易成新能
370,000099,中信海直
371,605208,永茂泰
372,688218,江苏北人
373,002645,华宏科技
374,000068,华控赛格
375,688010,福光股份
376,300559,佳发教育
377,600188,兖州煤业
378,601168,西部矿业
379,002810,山东赫达
380,300634,彩讯股份
381,688819,天能股份
382,300739,明阳电路
383,002998,优彩资源
384,603189,网达软件
385,300260,新莱应材
386,603931,格林达
387,300798,锦鸡股份
388,688233,神工股份
389,000709,河钢股份
390,300128,锦富技术
391,600277,亿利洁能
392,600444,国机通用
393,300803,指南针
394,300885,海昌新材
395,688023,安恒信息
396,300837,浙矿股份
397,002263,大东南
398,000415,渤海租赁
399,300666,江丰电子
400,600129,太极集团
401,003031,中瓷电子
402,603306,华懋科技
403,688266,泽璟制药-U
404,300712,永福股份
405,688589,力合微
406,300041,回天新材
407,603960,克来机电
408,002881,美格智能
409,300797,钢研纳克
410,300183,东软载波
411,600715,文投控股
412,300097,智云股份
413,300154,瑞凌股份
414,603773,沃格光电
415,603601,再升科技
416,688378,奥来德
417,603080,新疆火炬
418,600176,中国巨石
419,603277,银都股份
420,688025,杰普特
421,300205,天喻信息
422,601601,中国太保
423,002493,荣盛石化
424,600282,南钢股份
425,300123,亚光科技
426,000541,佛山照明
427,003003,天元股份
428,000426,兴业矿业
429,601377,兴业证券
430,600231,凌钢股份
431,000703,恒逸石化
432,603155,新亚强
433,002588,史丹利
434,601995,中金公司
435,605086,龙高股份
436,000970,中科三环
437,600275,*ST昌鱼
438,603223,恒通股份
439,300006,莱美药业
440,603166,福达股份
441,600760,中航沈飞
